open,high,low,close,volume,datetime,symbol,SMA_10,SMA_20,SMA_50,%Year,%6Month,%3Month,%1Month,$Volume,adr_percent,atr,str_dev,lower_band,upper_band,lower_channel,upper_channel,sector,industry,%Year_rank,%6Month_rank,%3Month_rank,%1Month_rank,composite_score,sector_rank
174.783,183.02,173.7917,182.37,4003773.0,2026-05-22,ZS,166.213,153.98,144.699,-28.1,-34.8,22.1,34.59,712671594.0,4.92,7.375045,15.883372968048295,122.2132540639034,185.74674593609657,142.9174325,165.0425675,Technology,EDP Services,55.0,79.0,32.0,14.0,45.0,254.0
108.5,113.73,105.09,105.64,9632558.0,2026-05-22,ZM,99.86,101.582,90.2402,32.6,34.71,20.72,14.79,1049948822.0,4.37,4.356240000000001,5.150655144838564,91.28068971032286,111.88331028967713,95.04764,108.11636,Technology,Computer Software: Programming Data Processing,14.0,11.0,20.0,14.0,14.75,105.0
18.2,18.89,18.17,18.79,5616712.0,2026-05-22,ZETA,17.678,17.6925,17.057,39.19,15.28,10.66,7.19,106717528.0,5.3,0.91623,0.884568732267459,15.92336253546508,19.46163746453492,16.318154999999997,19.066845,Technology,Computer Software: Prepackaged Software,18.0,33.0,50.0,64.0,41.25,232.0
61.54,62.2,59.31,60.06,1265537.0,2026-05-22,YOU,59.287,57.8075,53.9046,146.55,76.75,79.44,9.58,77197757.0,5.58,3.1048850000000003,2.6900672560560817,52.42736548788783,63.18763451211216,53.1501725,62.4648275,Technology,Computer Software: Prepackaged Software,3.0,6.0,10.0,47.0,16.5,115.0
44.07,45.28,43.96,45.22,1230770.0,2026-05-22,YETI,42.361,41.2865,39.174,53.6,25.79,-0.48,13.16,55384650.0,4.79,1.932495,2.1356455328789483,37.0152089342421,45.5577910657579,38.3877575,44.1852425,Consumer Discretionary,Recreational Games/Products/Toys,4.0,2.0,4.0,1.0,2.75,64.0
86.99,89.72,86.9,89.21,415449.0,2026-05-22,XMTR,87.61,73.8423,55.2771,159.86,61.06,100.74,86.98,36559512.0,6.83,4.80254,17.17994489261116,39.48241021477767,108.20218978522232,66.63848999999999,81.04611,Real Estate,Real Estate,3.0,5.0,4.0,1.0,3.25,6.0
11.67,11.93,11.62,11.73,627887.0,2026-05-22,XIFR,11.507,11.2165,10.643,38.82,31.5,8.91,16.72,7534644.0,4.79,0.525105,0.5692957329709588,10.077908534058082,12.355091465941918,10.4288425,12.0041575,Utilities,Electric Utilities: Central,10.0,3.0,5.0,3.0,5.25,24.0
30.4,31.44,29.2,30.19,1805247.0,2026-05-22,WYFI,27.008,23.016,17.8605,,73.61,71.34,82.42,54157410.0,14.31,3.0921700000000003,5.14488749813064,12.72622500373872,33.30577499626128,18.377745,27.654255,Finance,Finance: Consumer Services,85.0,9.0,10.0,2.0,26.5,271.0
22.66,23.24,21.88,22.82,20786447.0,2026-05-22,WULF,22.518,22.567,19.553,502.11,97.4,29.95,14.04,478088281.0,7.05,1.526995,1.3385738679655868,19.88985226406883,25.24414773593117,20.2765075,24.8574925,Technology,EDP Services,2.0,3.0,21.0,27.0,13.25,95.0
19.5,19.56,19.0,19.28,1703990.0,2026-05-22,WTTR,19.201,18.0615,16.349,135.99,105.11,41.25,15.17,32375810.0,4.1,0.7233850000000001,1.2900521205301088,15.48139575893978,20.64160424106021,16.976422499999998,19.1465775,Energy,Oilfield Services/Equipment,4.0,2.0,2.0,1.0,2.25,3.0
24.15,25.15,24.15,24.78,1649164.0,2026-05-22,WSC,24.72,24.185,21.0342,-10.22,56.34,4.42,9.36,41229100.0,5.05,1.20693,1.750306740034565,20.684386519930868,27.68561348006913,22.374605,25.995395,Industrials,Misc Corporate Leasing Services,3.0,1.0,1.0,1.0,1.5,11.0
39.0,40.475,39.0,40.09,261080.0,2026-05-22,WS,39.236,39.282,35.505,56.72,30.59,-6.81,6.23,10443200.0,4.55,1.74295,1.307889420724166,36.666221158551664,41.89777884144833,36.667575,41.896425,Industrials,Steel/Iron Ore,11.0,13.0,17.0,6.0,11.75,212.0
71.5,80.82,68.27,69.89,10942857.0,2026-05-22,WOLF,63.41,50.4795,32.8124,4964.49,303.06,246.85,123.79,820714275.0,17.7,8.263375,15.11394075018159,20.251618499636823,80.70738150036318,38.0844375,62.8745625,Technology,Semiconductors,2.0,7.0,3.0,2.0,3.5,18.0
34.82,35.42,34.685,34.72,3104864.0,2026-05-22,WMG,33.918,31.81,28.8678,32.02,16.94,26.58,19.97,108670240.0,4.01,1.2425,2.651633061857713,26.50673387628457,37.11326612371543,29.94625,33.67375,Consumer Discretionary,Services-Misc. Amusement & Recreation,12.0,21.0,6.0,4.0,10.75,337.0
11.71,11.99,11.69,11.76,641816.0,2026-05-22,WLTH,11.58,11.325,10.3034,,,43.94,10.01,7701792.0,4.29,0.4699899999999999,0.439730778880405,10.44553844223919,12.204461557760808,10.620015,12.029985,Finance,Finance: Consumer Services,84.0,85.0,17.0,21.0,51.75,451.0
92.78,94.8,91.15,93.55,228587.0,2026-05-22,WLDN,91.312,84.4765,80.7078,72.89,0.57,-16.23,20.01,21258591.0,6.32,5.085255,8.608702008035875,67.25909598392825,101.69390401607176,76.8486175,92.1043825,Consumer Discretionary,Military/Government/Technical,8.0,20.0,24.0,7.0,14.75,441.0
40.0,40.11,39.3,39.79,803762.0,2026-05-22,WERN,37.819,36.7715,33.0476,52.16,71.88,19.92,17.62,32150480.0,4.13,1.471625,1.936552213002304,32.898395573995394,40.64460442600461,34.564062500000006,38.9789375,Industrials,Trucking Freight/Courier Services,8.0,7.0,8.0,1.0,6.0,104.0
488.43,489.99,478.5495,484.28,4492768.0,2026-05-22,WDC,478.53,465.28,383.6548,825.08,245.35,78.99,19.87,2174499712.0,6.2,27.603755,30.4664044481785,404.34719110364296,526.2128088963569,423.8743675,506.6856325,Technology,Electronic Components,2.0,2.0,3.0,5.0,3.0,15.0
43.88,47.94,43.21,47.25,9104121.0,2026-05-22,VSH,39.309,35.204,26.7692,234.16,299.75,140.95,67.61,418789566.0,6.11,2.11738,5.316477266603797,24.571045466792405,45.8369545332076,32.02793,38.38007,Technology,Electrical Products,7.0,2.0,3.0,2.0,3.5,18.0
50.72,52.51,50.05,52.45,2011916.0,2026-05-22,VSCO,47.578,48.8385,48.7416,149.88,55.22,-15.84,-0.63,102607716.0,5.92,2.7815450000000004,2.689907599665456,43.45868480066909,54.21831519933092,44.666182500000005,53.0108175,Consumer Discretionary,Clothing/Shoe/Accessory Stores,1.0,2.0,10.0,6.0,4.75,137.0
72.1,77.25,72.1,74.56,2300444.0,2026-05-22,VSAT,71.919,68.683,59.8588,706.93,144.78,55.59,20.28,172533300.0,5.76,3.858245,4.7257804702116015,59.2314390595768,78.13456094042321,62.895632500000005,74.47036750000001,Technology,Radio And Television Broadcasting And Communications Equipment,3.0,6.0,7.0,9.0,6.25,45.0
30.92,31.485,30.61,31.0,1531339.0,2026-05-22,VRNS,29.222,28.2695,25.1442,-34.31,-1.24,42.79,26.38,47471509.0,5.33,1.4544549999999998,1.6300741830073269,25.009351633985347,31.52964836601465,26.0878175,30.4511825,Technology,Computer Software: Prepackaged Software,84.0,45.0,19.0,18.0,41.5,234.0
104.89,114.11,104.075,113.76,625095.0,2026-05-22,VPG,100.854,81.324,61.2584,336.2,288.52,143.13,87.66,68135355.0,8.19,6.712445,20.7879108086762,39.7481783826476,122.8998216173524,71.2553325,91.3926675,Technology,Electrical Products,5.0,3.0,2.0,1.0,2.75,13.0
41.5,45.3,41.11,44.64,3050940.0,2026-05-22,VOYG,37.419,32.2105,29.5892,,144.87,62.03,55.65,131190420.0,10.15,3.08024,6.231899663910831,19.746700672178346,44.674299327821664,27.590140000000005,36.83086,Industrials,Military/Government/Technical,31.0,5.0,6.0,5.0,11.75,212.0
3.06,3.3,3.025,3.22,2614319.0,2026-05-22,VLN,2.979,2.627,1.8596,45.05,126.76,110.46,79.89,7842957.0,15.02,0.33755,0.5021647873798107,1.6226704252403783,3.631329574759621,2.120675,3.133325,Technology,Semiconductors,68.0,44.0,20.0,6.0,34.5,199.0
75.5,77.58,74.45,75.41,644211.0,2026-05-22,VIST,74.136,72.3315,70.5588,50.19,51.06,31.15,6.38,48960036.0,4.26,3.025905,3.958070070654979,64.41535985869005,80.24764014130996,67.7926425,76.87035750000001,Energy,Oil & Gas Production,38.0,26.0,20.0,24.0,27.0,82.0
12.0,12.485,11.94,12.3,5016206.0,2026-05-22,VISN,11.614,11.6858,11.2011,-418.65,87.21,54.72,-36.6,60194472.0,4.67,0.526015,0.6652883723777416,10.355223255244518,13.016376744755483,10.8967775,12.4748225,Technology,Radio And Television Broadcasting And Communications Equipment,16.0,8.0,8.0,15.0,11.75,81.0
13.29,14.025,13.21,13.83,11202258.0,2026-05-22,VG,13.744,13.1155,13.6954,15.44,93.43,47.91,16.22,156831612.0,6.52,0.83147,0.9382709461669504,11.2389581076661,14.9920418923339,11.868295,14.362705000000002,Utilities,Oil/Gas Transmission,7.0,1.0,1.0,1.0,2.5,3.0
20.9,23.25,19.81,23.06,4835018.0,2026-05-22,VELO,19.135,16.2692,13.7526,220.28,420.54,138.22,32.83,106370396.0,14.42,2.20961,3.413142661675252,9.442914676649496,23.095485323350506,12.954785,19.583615,Technology,Industrial Machinery/Components,17.0,1.0,3.0,14.0,8.75,57.0
58.44,60.28,57.51,59.55,584651.0,2026-05-22,VECO,58.1875,55.9238,45.5379,204.14,125.65,102.83,15.12,34494409.0,5.93,3.2280450000000003,4.799268824519223,46.32526235096155,65.52233764903845,51.0817325,60.7658675,Technology,Industrial Machinery/Components,18.0,10.0,4.0,26.0,14.5,103.0
45.46,46.0,44.81,45.03,1398669.0,2026-05-22,VCYT,41.898,38.9345,35.2312,68.53,10.23,26.17,31.17,62940105.0,5.51,2.060045,4.579573038016416,29.775353923967167,48.09364607603283,35.8444325,42.0245675,Health Care,Medical Specialities,6.0,15.0,9.0,8.0,9.5,97.0
74.95,76.16,74.7275,75.19,446196.0,2026-05-22,VAC,72.955,73.2795,71.0622,11.72,60.63,33.79,3.71,33464700.0,4.94,3.4840149999999994,2.5402392655644253,68.19902146887115,78.35997853112885,68.0534775,78.5055225,Finance,Real Estate,25.0,4.0,10.0,29.0,17.0,195.0
39.54,41.42,38.9105,40.06,3352035.0,2026-05-22,UTI,38.396,37.5315,37.0736,12.06,70.76,15.48,12.88,134081400.0,5.61,2.02206,1.6823738710836422,34.16675225783272,40.89624774216728,34.49841,40.56459,Real Estate,Other Consumer Services,8.0,3.0,7.0,9.0,6.75,12.0
24.605,26.7093,24.605,25.3,18252693.0,2026-05-22,USAR,23.788,24.811,20.7871,203.72,107.38,24.08,15.74,474570018.0,10.15,2.36595,2.170227128545256,20.470545742909486,29.15145425709052,21.262075,28.359925,Basic Materials,Metal Mining,6.0,2.0,1.0,2.0,2.75,5.0
18.08,18.3,17.98,18.22,10045470.0,2026-05-22,UMC,17.349,15.62,12.231,133.59,155.9,66.85,48.37,180818460.0,4.43,0.65796,2.0979237856809863,11.424152428638028,19.81584757136197,14.63306,16.606939999999998,Technology,Semiconductors,44.0,28.0,28.0,15.0,28.75,171.0
14.84,16.88,14.76,16.78,6942456.0,2026-05-22,UMAC,15.108,14.6005,14.756,230.31,116.24,26.07,14.54,111079296.0,9.54,1.317025,1.0253958157450331,12.549708368509934,16.651291631490068,12.6249625,16.5760375,Technology,Radio And Television Broadcasting And Communications Equipment,6.0,7.0,11.0,10.0,8.5,56.0
4.96,5.02,4.835,4.95,3256665.0,2026-05-22,ULCC,4.732,4.574,4.0634,19.85,32.35,6.68,25.63,16283325.0,8.12,0.343065,0.5071011525794129,3.559797694841174,5.588202305158825,4.0594025,5.0885975,Consumer Discretionary,Air Freight/Delivery Services,11.0,3.0,4.0,1.0,4.75,137.0
81.905,84.265,80.0,84.01,421971.0,2026-05-22,UCTT,82.036,80.7768,73.4293,314.45,288.04,16.75,1.2,34601622.0,7.68,5.871840000000001,4.463172778416258,71.85045444316748,89.70314555683251,71.96903999999999,89.58456,Technology,Semiconductors,19.0,8.0,61.0,61.0,37.25,215.0
24.5,25.23,23.435,23.68,3798904.0,2026-05-22,TXG,22.547,22.122,21.815,167.27,43.86,23.98,7.25,91173696.0,6.61,1.40487,1.2810176875395654,19.55996462492087,24.68403537507913,20.014695,24.229305,Industrials,Biotechnology: Laboratory Analytical Instruments,2.0,1.0,1.0,3.0,1.75,13.0
58.53,61.95,56.38,60.57,1617926.0,2026-05-22,TWST,54.365,56.1185,53.3516,113.8,132.34,24.78,-0.61,95457634.0,7.41,3.95066,3.535492260819741,49.04751547836052,63.18948452163948,50.19251,62.04449,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),30.0,5.0,12.0,35.0,20.5,164.0
44.39,45.0,44.12,44.43,803425.0,2026-05-22,TVTX,43.663,43.355,37.0374,197.19,27.93,43.88,9.7,36154125.0,5.05,2.13062,1.3687854777904034,40.61742904441919,46.0925709555808,40.15907,46.55093,Health Care,Biotechnology: Pharmaceutical Preparations,45.0,74.0,32.0,48.0,49.75,275.0
188.33,191.73,182.69,189.92,3084730.0,2026-05-22,TTMI,170.005,162.4055,131.0392,533.91,224.93,77.99,27.45,576844510.0,7.84,12.038105,11.862200237463872,138.68109952507226,186.12990047492767,144.3483425,180.4626575,Technology,Electrical Products,2.0,4.0,5.0,5.0,4.0,24.0
287.66,288.19,279.01,283.43,1387279.0,2026-05-22,TSEM,265.155,239.535,209.4184,583.13,209.39,124.93,41.33,393987236.0,7.46,17.019735000000004,30.554564048772125,178.42587190245575,300.64412809754424,214.0053975,265.0646025,Technology,Semiconductors,6.0,18.0,19.0,21.0,16.0,111.0
39.2,40.2,38.9088,40.12,451692.0,2026-05-22,TRS,39.207,39.4425,37.7364,51.34,26.28,10.22,8.67,18067680.0,4.02,1.53998,1.863019267069992,35.71646146586002,43.168538534139984,37.13253,41.75247,Industrials,Industrial Specialties,9.0,9.0,7.0,7.0,8.0,145.0
3.88,4.21,3.75,4.08,419197.0,2026-05-22,TROO,4.068,4.0585,3.1426,513.53,248.72,32.04,31.61,1676788.0,11.6,0.437725,0.2464329736993689,3.565634052601262,4.551365947398738,3.4019125000000003,4.715087500000001,Finance,Diversified Financial Services,1.0,1.0,1.0,1.0,1.0,1.0
39.0,39.45,38.53,39.18,1262512.0,2026-05-22,TREX,38.267,38.7165,38.7024,-30.16,30.04,-5.48,-6.49,49237968.0,5.07,1.92025,1.160563724185717,36.39537255162857,41.03762744837144,35.836125,41.596875,Basic Materials,Forest Products,6.0,2.0,2.0,4.0,3.5,8.0
14.85,15.39,14.3,14.79,385637.0,2026-05-22,TOYO,13.568,12.575,11.1397,329.94,130.91,75.24,26.95,5784555.0,9.39,1.124645,1.369903953605973,9.835192092788054,15.314807907211945,10.8880325,14.2619675,Consumer Discretionary,Miscellaneous manufacturing industries,1.0,1.0,1.0,1.0,1.0,1.0
4.45,4.6,4.33,4.59,1292152.0,2026-05-22,TOI,4.195,4.0475,3.584,47.12,41.67,77.91,41.23,5168608.0,6.76,0.26195,0.2590646129524668,3.529370774095067,4.565629225904934,3.654575,4.440425,Health Care,Medical/Nursing Services,4.0,5.0,2.0,2.0,3.25,30.0
4.69,4.88,4.625,4.64,844033.0,2026-05-22,TLS,4.44,4.405,4.3198,83.4,-15.17,19.59,4.74,4220165.0,5.73,0.2437599999999999,0.1684761423060946,4.068047715387811,4.741952284612189,4.03936,4.77064,Technology,EDP Services,6.0,47.0,33.0,35.0,30.25,179.0
364.99,378.5,362.99,372.45,847953.0,2026-05-22,TLN,348.941,364.348,345.3672,52.32,0.91,-0.74,2.23,314590563.0,4.81,17.025295,23.66992153056544,317.00815693886915,411.6878430611309,338.8100575,389.8859425,Utilities,Electric Utilities: Central,5.0,36.0,28.0,11.0,20.0,79.0
29.36,30.0,28.57,28.81,545471.0,2026-05-22,TILE,28.414,28.1455,27.125,42.48,12.72,-9.63,2.53,15818659.0,4.02,1.11015,0.7432041229844233,26.659091754031152,29.631908245968845,26.480275,29.810725,Consumer Discretionary,Home Furnishings,2.0,3.0,5.0,2.0,3.0,72.0
86.0,86.04,84.17,85.84,1335386.0,2026-05-22,TIGO,82.828,82.664,80.248,135.69,64.86,25.19,2.12,113507810.0,4.1,3.2217100000000003,2.45231877381664,77.75936245236672,87.56863754763329,77.831435,87.496565,Telecommunications,Telecommunications Equipment,9.0,13.0,13.0,20.0,13.75,27.0
65.34,66.15,64.58,65.71,443406.0,2026-05-22,THR,65.382,64.633,56.9324,155.09,100.58,30.17,21.28,28821390.0,4.75,2.939695,2.822056174606021,58.98888765078795,70.27711234921203,60.2234575,69.0425425,Energy,Industrial Machinery/Components,26.0,19.0,23.0,16.0,21.0,71.0
355.0,360.34,352.41,358.44,2712336.0,2026-05-22,TER,346.849,350.069,343.2406,346.65,129.92,8.92,-14.27,965591616.0,5.54,18.65571,18.84441782485929,312.38016435028146,387.7578356497186,322.085435,378.052565,Industrials,Electrical Products,4.0,8.0,18.0,24.0,13.5,235.0
25.29,25.78,25.0175,25.45,3798507.0,2026-05-22,TENB,23.319,22.2455,20.1235,-20.47,-0.78,39.15,27.12,94962675.0,6.24,1.33798,1.9030708563295389,18.439358287340923,26.05164171265908,20.23853,24.25247,Technology,Computer Software: Prepackaged Software,65.0,44.0,22.0,16.0,36.75,212.0
83.52,88.55,83.52,85.42,4461119.0,2026-05-22,TEAM,84.6005,84.4632,74.7531,-59.9,-40.7,20.01,19.39,383656234.0,6.63,5.47125,7.410622225988447,69.6419555480231,99.2844444519769,76.256325,92.670075,Technology,Computer Software: Prepackaged Software,127.0,129.0,42.0,29.0,81.75,394.0
8.71,8.74,7.72,8.08,62714487.0,2026-05-22,TE,7.096,6.188,5.7912,584.75,197.06,13.96,52.74,501715896.0,11.96,0.731215,1.356658433528181,3.4746831329436376,8.901316867056362,5.0911775,7.2848225,Miscellaneous,Industrial Machinery/Components,2.0,7.0,28.0,3.0,10.0,12.0
6.55,6.675,6.52,6.57,2416483.0,2026-05-22,TDOC,6.568,6.5685,5.9204,-5.74,-2.81,44.71,14.26,16915381.0,5.73,0.356465,0.3224295108603861,5.923640978279228,7.213359021720772,6.0338025,7.1031975,Health Care,Medical/Nursing Services,11.0,13.0,7.0,7.0,9.5,97.0
33.0,33.97,32.895,33.44,1488337.0,2026-05-22,TDC,32.921,30.939,28.1054,54.31,25.67,11.36,26.52,49115121.0,5.19,1.5260000000000002,2.5996900624983064,25.739619875003388,36.138380124996615,28.65,33.228,Technology,Computer Software: Prepackaged Software,15.0,24.0,53.0,20.0,28.0,170.0
7.65,7.8,7.485,7.56,1082639.0,2026-05-22,TDAY,7.473,7.374,7.1198,,71.43,29.23,3.7,8661112.0,4.72,0.3378,0.1931293539791609,6.987741292041678,7.760258707958322,6.8673,7.880699999999999,Consumer Discretionary,Newspapers/Magazines,5.0,1.0,1.0,1.0,2.0,34.0
15.88,16.165,15.739,16.04,1284820.0,2026-05-22,TALO,15.931,15.7345,15.3238,98.76,49.63,22.16,7.65,20557120.0,4.2,0.644155,0.484935969728703,14.764628060542597,16.704371939457406,14.7682675,16.7007325,Energy,Oil & Gas Production,19.0,29.0,24.0,27.0,24.75,80.0
75.34,75.63,73.11,74.05,574924.0,2026-05-22,SYRE,73.323,72.7668,62.2095,391.05,215.51,70.43,6.29,42544376.0,6.27,4.38951,2.808491014105957,67.1498179717881,78.38378202821191,66.182535,79.351065,Health Care,Biotechnology: Pharmaceutical Preparations,19.0,9.0,10.0,61.0,24.75,182.0
133.99,144.23,133.24,143.69,982158.0,2026-05-22,SYNA,128.963,116.229,92.4452,144.95,145.54,77.26,53.09,136519962.0,7.41,8.237995000000002,16.875814802940607,82.4773703941188,149.9806296058812,103.8720075,128.5859925,Technology,Semiconductors,45.0,38.0,30.0,14.0,31.75,187.0
8.15,8.51,8.12,8.4,1920694.0,2026-05-22,SXC,7.88,7.469,6.8008,-0.94,32.91,46.09,29.03,15365552.0,4.31,0.30667,0.4943565727818793,6.480286854436241,8.457713145563758,7.0089950000000005,7.929005,Industrials,Steel/Iron Ore,15.0,11.0,2.0,2.0,7.5,138.0
73.59,82.46,73.59,82.42,5338625.0,2026-05-22,SWKS,71.459,69.3062,61.7141,18.13,36.23,37.6,29.49,416412750.0,5.54,3.698195,4.704872299570338,59.89645540085933,78.71594459914068,63.75890750000001,74.8534925,Technology,Semiconductors,76.0,70.0,56.0,35.0,59.25,312.0
10.89,12.34,10.47,12.26,398738.0,2026-05-22,SUPX,10.384,9.03,8.6634,17.66,-68.35,-11.22,37.14,4386118.0,11.77,1.00119,1.5517494371801757,5.926501125639648,12.13349887436035,7.528214999999999,10.531785,,,,,,,,
814.72,824.0,799.81,812.73,2534548.0,2026-05-22,STX,788.5285,759.3622,587.6961,592.63,237.93,105.22,38.63,2058052976.0,6.32,45.41469,64.96370015702573,629.4347996859485,889.2896003140515,691.240165,827.484235,Technology,Electronic Components,3.0,3.0,2.0,2.0,2.5,10.0
9.86,10.2,9.68,9.98,4076463.0,2026-05-22,STUB,9.074,8.302,7.362,,-3.2,4.39,39.58,40764630.0,6.81,0.548135,1.0532336173098922,6.195532765380215,10.408467234619785,7.479797499999999,9.1242025,Consumer Discretionary,Services-Misc. Amusement & Recreation,32.0,26.0,19.0,2.0,19.75,512.0
66.5,68.14,66.175,66.86,7691471.0,2026-05-22,STM,63.241,59.5615,46.639,167.55,215.38,96.36,32.47,515328557.0,4.17,2.406,4.72176514162152,50.11796971675696,69.00503028324304,55.9525,63.1705,Technology,Semiconductors,40.0,17.0,22.0,28.0,26.75,161.0
6.31,6.52,6.27,6.51,1317316.0,2026-05-22,STGW,6.222,6.34,6.4136,33.95,26.16,44.35,-4.96,7903896.0,4.52,0.27815,0.2065506182385099,5.92689876352298,6.753101236477019,5.922775,6.757225,Consumer Discretionary,Advertising,2.0,3.0,3.0,5.0,3.25,82.0
32.72,33.32,32.465,32.47,738729.0,2026-05-22,STAA,31.767,29.3845,24.7938,79.59,18.72,64.41,26.49,24378057.0,4.85,1.39575,2.7331001772616133,23.91829964547677,34.85070035452323,27.290875,31.478125,Health Care,Ophthalmic Goods,1.0,2.0,1.0,1.0,1.25,4.0
48.0,48.89,47.33,48.59,1621118.0,2026-05-22,ST,47.561,45.24,40.4064,84.61,70.31,26.67,16.55,77813664.0,4.03,1.757085,2.9102938900247635,39.41941221995047,51.06058778004953,42.6043725,47.8756275,Industrials,Industrial Machinery/Components,37.0,28.0,26.0,27.0,29.5,330.0
14.0,14.28,13.88,13.97,455000.0,2026-05-22,SSSS,13.451,13.455,12.3184,118.28,55.92,52.34,7.13,6370000.0,4.11,0.5413250000000001,0.3621936091737593,12.730612781652482,14.179387218347518,12.6430125,14.2669875,Finance,Finance: Consumer Services,12.0,15.0,15.0,22.0,16.0,186.0
5.81,6.27,5.81,6.13,1726164.0,2026-05-22,SRTA,5.545,5.3575,4.7705,63.9,52.11,45.95,24.59,10356984.0,5.94,0.30835,0.3405394327580725,4.676421134483855,6.038578865516145,4.894975,5.820025,Consumer Discretionary,Transportation Services,5.0,5.0,3.0,3.0,4.0,109.0
206.97,208.695,201.58,207.8,492162.0,2026-05-22,SPXC,202.766,205.772,207.3592,36.31,4.26,-14.5,-6.74,100893210.0,4.37,8.793345,5.718229022860997,194.335541954278,217.208458045722,192.5819825,218.9620175,Industrials,Industrial Machinery/Components,56.0,88.0,99.0,91.0,83.5,396.0
19.62,21.59,19.62,21.16,1517438.0,2026-05-22,SPIR,19.223,18.275,16.8584,96.47,176.6,138.83,28.16,31866198.0,10.27,1.77381,1.4282654183530807,15.418469163293835,21.13153083670616,15.614285,20.935715,Consumer Discretionary,Telecommunications Equipment,15.0,6.0,1.0,7.0,7.25,226.0
14.78,15.5999,14.76,15.51,1740287.0,2026-05-22,SONO,14.835,14.799,14.1184,48.14,-2.76,4.8,5.15,26104305.0,4.55,0.646845,0.2920508247044292,14.214898350591142,15.383101649408855,13.8287325,15.7692675,Consumer Staples,Consumer Electronics/Appliances,2.0,6.0,4.0,5.0,4.25,16.0
14.45,14.75,14.0126,14.74,2110034.0,2026-05-22,SOC,14.54,14.1015,14.6996,-47.15,246.01,57.65,8.54,29540476.0,7.29,0.979585,0.7964875193132682,12.508524961373464,15.694475038626535,12.6321225,15.5708775,Energy,Oil & Gas Production,81.0,1.0,3.0,29.0,28.5,87.0
1520.715,1528.0,1473.5201,1478.69,9657059.0,2026-05-22,SNDK,1436.161,1361.685,1022.678,3732.79,654.59,131.58,49.38,14495245559.0,8.39,108.377175,163.58094862370194,1034.523102752596,1688.8468972474038,1199.1192375,1524.2507624999998,Technology,Electronic Components,1.0,1.0,1.0,1.0,1.0,1.0
111.89,112.81,110.6,112.03,1131595.0,2026-05-22,SN,107.568,110.6775,110.1436,20.84,31.63,-12.55,-3.21,126738640.0,4.49,4.818935000000001,4.484632091933533,101.70823581613293,119.64676418386706,103.4490975,117.9059025,Consumer Discretionary,Consumer Electronics/Appliances,4.0,2.0,6.0,6.0,4.5,127.0
155.0,164.48,151.15,156.78,6409877.0,2026-05-22,SMTC,140.949,126.7075,103.1982,323.62,150.57,73.87,42.8,1012760566.0,6.83,8.35823,17.768575417528982,91.17034916494202,162.24465083505797,114.170155,139.244845,Technology,Semiconductors,20.0,35.0,29.0,19.0,25.75,155.0
33.8,35.935,33.68,35.58,39440978.0,2026-05-22,SMCI,32.623,31.3605,27.9588,-15.2,12.74,14.29,22.35,1380434230.0,6.39,1.95349,3.030809297860906,25.298881404278188,37.42211859572181,28.430265,34.290735,Technology,Computer Manufacturing,7.0,6.0,7.0,3.0,5.75,43.0
33.64,34.06,33.054,33.77,3030582.0,2026-05-22,SM,32.905,31.5705,30.1244,42.73,83.23,50.36,17.34,103039788.0,4.67,1.4357950000000002,1.776882174810042,28.01673565037992,35.124264349620084,29.4168075,33.7241925,Energy,Oil & Gas Production,45.0,11.0,7.0,7.0,17.5,69.0
7.67,8.27,7.3512,7.78,10694192.0,2026-05-22,SLS,7.3,6.133,5.3361,337.08,432.88,64.14,74.44,85553536.0,10.35,0.648205,1.3704593928199482,3.392081214360104,8.873918785639896,5.1606925,7.1053075,Health Care,Biotechnology: Pharmaceutical Preparations,27.0,3.0,14.0,1.0,11.25,108.0
37.0,38.39,36.902,37.21,1390903.0,2026-05-22,SKYT,35.591,34.1575,31.4678,304.9,174.41,32.33,10.81,52854314.0,4.43,1.463925,1.9315030280506933,30.29449394389861,38.02050605610139,31.9616125,36.3533875,Technology,Semiconductors,21.0,25.0,51.0,48.0,36.25,206.0
267.0,278.495,263.99,276.14,802677.0,2026-05-22,SIMO,260.628,244.7565,173.884,343.38,244.49,103.21,79.94,217525467.0,8.49,19.122735,27.877961541992992,189.000576916014,300.512423083986,216.0723975,273.4406025,Technology,Semiconductors,13.0,15.0,21.0,5.0,13.5,98.0
4.185,5.22,4.15,5.12,40583051.0,2026-05-22,SIDU,3.8985,3.5618,3.4528,248.3,620.92,143.81,49.71,202915255.0,14.31,0.476095,0.5284368084514125,2.504926383097174,4.618673616902825,2.8476574999999995,4.2759425,Telecommunications,Telecommunications Equipment,7.0,1.0,2.0,4.0,3.5,7.0
41.39,42.55,41.08,41.93,869933.0,2026-05-22,SHOO,39.74,39.0075,37.0748,63.73,10.71,12.23,8.68,36537186.0,4.05,1.5448,1.5642549092310098,35.87899018153798,42.13600981846202,36.6903,41.3247,Consumer Discretionary,Shoe Manufacturing,1.0,4.0,2.0,2.0,2.25,43.0
7.5,8.18,7.26,7.49,1140757.0,2026-05-22,SHMD,6.977,6.3905,6.2121,166.55,93.54,2.04,7.46,9126056.0,10.84,0.6606949999999999,0.7525428821493604,4.88541423570128,7.895585764298721,5.3994575000000005,7.3815425,Technology,Industrial Machinery/Components,25.0,21.0,54.0,29.0,32.25,191.0
